fund number,time,return,isreplace
3257.0,200401.0,0.04876,0.0
3257.0,200402.0,0.02795,0.0
3257.0,200403.0,0.01107,0.0
3257.0,200404.0,-0.06185,0.0
3257.0,200405.0,0.03748,0.0
3257.0,200406.0,0.00167,0.0
3257.0,200407.0,-0.04912,0.0
3257.0,200408.0,-0.00419,0.0
3257.0,200409.0,0.04494,0.0
3257.0,200410.0,-0.00464,0.0
3257.0,200411.0,0.08369,0.0
3257.0,200412.0,0.06458,0.0
3257.0,200501.0,-0.01398,0.0
3257.0,200502.0,0.03503,0.0
3257.0,200503.0,-0.0165,0.0
3257.0,200504.0,-0.05687,0.0
3257.0,200505.0,0.05462,0.0
3257.0,200506.0,0.01236,0.0
3257.0,200507.0,0.0503,0.0
3257.0,200508.0,-0.00264,0.0
3257.0,200509.0,0.0033,0.0
3257.0,200510.0,-0.02693,0.0
3257.0,200511.0,0.03413,0.0
3257.0,200512.0,-0.00111,0.0
3257.0,200601.0,0.07526,0.0
3257.0,200602.0,0.00768,0.0
3257.0,200603.0,0.05132,0.0
3257.0,200604.0,0.0152,0.0
3257.0,200605.0,-0.03077,0.0
3257.0,200606.0,-0.00228,0.0
3257.0,200607.0,-0.05045,0.0
3257.0,200608.0,0.02224,0.0
3257.0,200609.0,0.01605,0.0
3257.0,200610.0,0.0443,0.0
3257.0,200611.0,-0.00057,0.0
3257.0,200612.0,0.0205,0.0
3257.0,200701.0,0.03304,0.0
3257.0,200702.0,-0.00677,0.0
3257.0,200703.0,0.00356,0.0
3257.0,200704.0,0.05093,0.0
3257.0,200705.0,0.03965,0.0
3257.0,200706.0,-0.00658,0.0
3257.0,200707.0,-0.06706,0.0
3257.0,200708.0,0.00696,0.0
3257.0,200709.0,0.02729,0.0
3257.0,200710.0,0.02381,0.0
3257.0,200711.0,-0.07512,0.0
3257.0,200712.0,-0.00743,0.0
3257.0,200801.0,-0.04352,0.0
3257.0,200802.0,-0.0188,0.0
3257.0,200803.0,-0.01181,0.0
3257.0,200804.0,0.03245,0.0
3257.0,200805.0,0.04838,0.0
3257.0,200806.0,-0.06197,0.0
3257.0,200807.0,-0.01383,0.0
3257.0,200808.0,0.02849,0.0
3257.0,200809.0,-0.09747,0.0
3257.0,200810.0,-0.23672,0.0
3257.0,200811.0,-0.1485,0.0
3257.0,200812.0,0.03373,0.0
3258.0,200401.0,0.08752,0.0
3258.0,200402.0,0.01676,0.0
3258.0,200403.0,-0.01455,0.0
3258.0,200404.0,-0.06451,0.0
3258.0,200405.0,0.00107,0.0
3258.0,200406.0,0.03378,0.0
3258.0,200407.0,-0.06025,0.0
3258.0,200408.0,-0.01778,0.0
3258.0,200409.0,0.03412,0.0
3258.0,200410.0,-0.0004,0.0
3258.0,200411.0,0.09268,0.0
3258.0,200412.0,0.05629,0.0
3258.0,200501.0,-0.03874,0.0
3258.0,200502.0,0.02773,0.0
3258.0,200503.0,-0.03025,0.0
3258.0,200504.0,-0.04217,0.0
3258.0,200505.0,0.04896,0.0
3258.0,200506.0,0.03546,0.0
3258.0,200507.0,0.06004,0.0
3258.0,200508.0,0.008,0.0
3258.0,200509.0,0.00221,0.0
3258.0,200510.0,-0.043,0.0
3258.0,200511.0,0.03012,0.0
3258.0,200512.0,0.02214,0.0
3258.0,200601.0,0.0525,0.0
3258.0,200602.0,-0.00063,0.0
3258.0,200603.0,0.02285,0.0
3258.0,200604.0,-0.00749,0.0
3258.0,200605.0,-0.0369,0.0
3258.0,200606.0,-0.01,0.0
3258.0,200607.0,-0.04214,0.0
3258.0,200608.0,0.02421,0.0
3258.0,200609.0,0.02013,0.0
3258.0,200610.0,0.0536,0.0
3258.0,200611.0,0.03346,0.0
3258.0,200612.0,0.0191,0.0
3258.0,200701.0,0.02894,0.0
3258.0,200702.0,-0.00712,0.0
3258.0,200703.0,0.00081,0.0
3258.0,200704.0,0.01332,0.0
3258.0,200705.0,0.00663,0.0
3258.0,200706.0,-0.01279,0.0
3258.0,200707.0,-0.03402,0.0
3258.0,200708.0,-0.02004,0.0
3258.0,200709.0,0.00875,0.0
3258.0,200710.0,0.01785,0.0
3258.0,200711.0,-0.06781,0.0
3258.0,200712.0,-0.01205,0.0
3258.0,200801.0,-0.06784,0.0
3258.0,200802.0,-0.01979,0.0
3258.0,200803.0,-0.02804,0.0
3258.0,200804.0,0.02737,0.0
3258.0,200805.0,0.04304,0.0
3258.0,200806.0,-0.08837,0.0
3258.0,200807.0,-0.01605,0.0
3258.0,200808.0,0.03476,0.0
3258.0,200809.0,-0.09937,0.0
3258.0,200810.0,-0.21295,0.0
3258.0,200811.0,-0.1291,0.0
3258.0,200812.0,0.05083,0.0
3259.0,200401.0,0.06429,0.0
3259.0,200402.0,0.01558,0.0
3259.0,200403.0,0.00341,0.0
3259.0,200404.0,-0.03296,0.0
3259.0,200405.0,0.01102,0.0
3259.0,200406.0,0.03065,0.0
3259.0,200407.0,-0.05114,0.0
3259.0,200408.0,-0.01554,0.0
3259.0,200409.0,0.04787,0.0
3259.0,200410.0,0.02866,0.0
3259.0,200411.0,0.08207,0.0
3259.0,200412.0,0.041,0.0
3259.0,200501.0,-0.04308,0.0
3259.0,200502.0,0.01545,0.0
3259.0,200503.0,-0.0483,0.0
3259.0,200504.0,-0.05808,0.0
3259.0,200505.0,0.04855,0.0
3259.0,200506.0,0.02805,0.0
3259.0,200507.0,0.07455,0.0
3259.0,200508.0,-0.01982,0.0
3259.0,200509.0,-5e-05,0.0
3259.0,200510.0,-0.02748,0.0
3259.0,200511.0,0.03603,0.0
3259.0,200512.0,-0.00757,0.0
3259.0,200601.0,0.06035,0.0
3259.0,200602.0,0.00077,0.0
3259.0,200603.0,0.03244,0.0
3259.0,200604.0,-0.00179,0.0
3259.0,200605.0,-0.03462,0.0
3259.0,200606.0,-0.00853,0.0
3259.0,200607.0,-0.03332,0.0
3259.0,200608.0,0.03232,0.0
3259.0,200609.0,0.01869,0.0
3259.0,200610.0,0.05344,0.0
3259.0,200611.0,0.04707,0.0
3259.0,200612.0,0.02229,0.0
3259.0,200701.0,0.01775,0.0
3259.0,200702.0,0.00369,0.0
3259.0,200703.0,-0.00013,0.0
3259.0,200704.0,0.01258,0.0
3259.0,200705.0,0.02747,0.0
3259.0,200706.0,-0.00247,0.0
3259.0,200707.0,-0.04845,0.0
3259.0,200708.0,-0.02665,0.0
3259.0,200709.0,0.0085,0.0
3259.0,200710.0,0.03549,0.0
3259.0,200711.0,-0.09255,0.0
3259.0,200712.0,-0.00527,0.0
3259.0,200801.0,-0.04946,0.0
3259.0,200802.0,-0.01258,0.0
3259.0,200803.0,-0.04972,0.0
3259.0,200804.0,0.03414,0.0
3259.0,200805.0,0.03776,0.0
3259.0,200806.0,-0.08375,0.0
3259.0,200807.0,0.02041,0.0
3259.0,200808.0,-0.00176,0.0
3259.0,200809.0,-0.11274,0.0
3259.0,200810.0,-0.22675,0.0
3259.0,200811.0,-0.15761,0.0
3259.0,200812.0,0.04349,0.0
3260.0,200401.0,0.06724,0.0
3260.0,200402.0,0.01204,0.0
3260.0,200403.0,0.01735,0.0
3260.0,200404.0,-0.05302,0.0
3260.0,200405.0,0.00396,0.0
3260.0,200406.0,0.03029,0.0
3260.0,200407.0,-0.06996,0.0
3260.0,200408.0,-0.00363,0.0
3260.0,200409.0,0.01923,0.0
3260.0,200410.0,0.02855,0.0
3260.0,200411.0,0.09233,0.0
3260.0,200412.0,0.0686,0.0
3260.0,200501.0,-0.03452,0.0
3260.0,200502.0,0.01359,0.0
3260.0,200503.0,-0.02049,0.0
3260.0,200504.0,-0.05716,0.0
3260.0,200505.0,0.03458,0.0
3260.0,200506.0,0.02892,0.0
3260.0,200507.0,0.06632,0.0
3260.0,200508.0,-0.01645,0.0
3260.0,200509.0,0.0206,0.0
3260.0,200510.0,-0.04664,0.0
3260.0,200511.0,0.04948,0.0
3260.0,200512.0,0.01233,0.0
3260.0,200601.0,0.09408,0.0
3260.0,200602.0,-0.00199,0.0
3260.0,200603.0,0.04939,0.0
3260.0,200604.0,-0.00056,0.0
3260.0,200605.0,-0.05248,0.0
3260.0,200606.0,0.00352,0.0
3260.0,200607.0,-0.04097,0.0
3260.0,200608.0,0.00907,0.0
3260.0,200609.0,0.00195,0.0
3260.0,200610.0,0.04655,0.0
3260.0,200611.0,0.03583,0.0
3260.0,200612.0,0.00502,0.0
3260.0,200701.0,0.04883,0.0
3260.0,200702.0,0.00975,0.0
