fund number,time,return,isreplace
2413.0,200401.0,0.0751,0.0
2413.0,200402.0,0.00949,0.0
2413.0,200403.0,-0.00224,0.0
2413.0,200404.0,-0.03882,0.0
2413.0,200405.0,0.00301,0.0
2413.0,200406.0,0.02565,0.0
2413.0,200407.0,-0.04455,0.0
2413.0,200408.0,-0.0198,0.0
2413.0,200409.0,0.04766,0.0
2413.0,200410.0,0.03573,0.0
2413.0,200411.0,0.06891,0.0
2413.0,200412.0,0.04286,0.0
2413.0,200501.0,-0.04137,0.0
2413.0,200502.0,0.02641,0.0
2413.0,200503.0,-0.00211,0.0
2413.0,200504.0,-0.04352,0.0
2413.0,200505.0,0.04631,0.0
2413.0,200506.0,0.03637,0.0
2413.0,200507.0,0.06554,0.0
2413.0,200508.0,-0.02237,0.0
2413.0,200509.0,0.01246,0.0
2413.0,200510.0,-0.03432,0.0
2413.0,200511.0,0.06603,0.0
2413.0,200512.0,0.00262,0.0
2413.0,200601.0,0.06256,0.0
2413.0,200602.0,0.00225,0.0
2413.0,200603.0,0.05504,0.0
2413.0,200604.0,-0.00464,0.0
2413.0,200605.0,-0.03915,0.0
2413.0,200606.0,-0.00897,0.0
2413.0,200607.0,-0.03948,0.0
2413.0,200608.0,0.01307,0.0
2413.0,200609.0,0.01083,0.0
2413.0,200610.0,0.05056,0.0
2413.0,200611.0,0.02605,0.0
2413.0,200612.0,0.01327,0.0
2413.0,200701.0,0.02681,0.0
2413.0,200702.0,0.00279,0.0
2413.0,200703.0,0.00307,0.0
2413.0,200704.0,0.02222,0.0
2413.0,200705.0,0.02718,0.0
2413.0,200706.0,-0.00696,0.0
2413.0,200707.0,-0.08459,0.0
2413.0,200708.0,-0.0164,0.0
2413.0,200709.0,0.02744,0.0
2413.0,200710.0,-0.00342,0.0
2413.0,200711.0,-0.09959,0.0
2413.0,200712.0,0.02512,0.0
2413.0,200801.0,-0.05998,0.0
2413.0,200802.0,-0.01861,0.0
2413.0,200803.0,-0.01136,0.0
2413.0,200804.0,0.0231,0.0
2413.0,200805.0,0.04236,0.0
2413.0,200806.0,-0.09141,0.0
2413.0,200807.0,-0.00552,0.0
2413.0,200808.0,0.02823,0.0
2413.0,200809.0,-0.11817,0.0
2413.0,200810.0,-0.21466,0.0
2413.0,200811.0,-0.10553,0.0
2413.0,200812.0,0.02243,0.0
2724.0,200401.0,0.08658,0.0
2724.0,200402.0,0.02285,0.0
2724.0,200403.0,-0.00759,0.0
2724.0,200404.0,-0.0511,0.0
2724.0,200405.0,0.01531,0.0
2724.0,200406.0,0.02661,0.0
2724.0,200407.0,-0.04254,0.0
2724.0,200408.0,0.00018,0.0
2724.0,200409.0,0.0382,0.0
2724.0,200410.0,0.01792,0.0
2724.0,200411.0,0.096,0.0
2724.0,200412.0,0.02985,0.0
2724.0,200501.0,-0.0565,0.0
2724.0,200502.0,0.02563,0.0
2724.0,200503.0,-0.02191,0.0
2724.0,200504.0,-0.0523,0.0
2724.0,200505.0,0.0495,0.0
2724.0,200506.0,0.03374,0.0
2724.0,200507.0,0.06276,0.0
2724.0,200508.0,0.01345,0.0
2724.0,200509.0,0.00713,0.0
2724.0,200510.0,-0.03227,0.0
2724.0,200511.0,0.03672,0.0
2724.0,200512.0,0.00879,0.0
2724.0,200601.0,0.07947,0.0
2724.0,200602.0,0.00823,0.0
2724.0,200603.0,0.03162,0.0
2724.0,200604.0,-0.01428,0.0
2724.0,200605.0,-0.05546,0.0
2724.0,200606.0,-0.01244,0.0
2724.0,200607.0,-0.02269,0.0
2724.0,200608.0,0.01376,0.0
2724.0,200609.0,0.01582,0.0
2724.0,200610.0,0.0446,0.0
2724.0,200611.0,0.02214,0.0
2724.0,200612.0,0.0201,0.0
2724.0,200701.0,0.03259,0.0
2724.0,200702.0,-0.00674,0.0
2724.0,200703.0,0.00534,0.0
2724.0,200704.0,0.0154,0.0
2724.0,200705.0,0.0203,0.0
2724.0,200706.0,-0.01515,0.0
2724.0,200707.0,-0.04161,0.0
2724.0,200708.0,-0.02662,0.0
2724.0,200709.0,0.01934,0.0
2724.0,200710.0,0.01395,0.0
2724.0,200711.0,-0.04063,0.0
2724.0,200712.0,-0.00804,0.0
2724.0,200801.0,-0.05771,0.0
2724.0,200802.0,-0.01064,0.0
2724.0,200803.0,-0.03964,0.0
2724.0,200804.0,0.04116,0.0
2724.0,200805.0,0.06626,0.0
2724.0,200806.0,-0.0947,0.0
2724.0,200807.0,0.02774,0.0
2724.0,200808.0,0.0199,0.0
2724.0,200809.0,-0.11131,0.0
2724.0,200810.0,-0.22656,0.0
2724.0,200811.0,-0.12369,0.0
2724.0,200812.0,0.02874,0.0
2729.0,200401.0,0.03747,0.0
2729.0,200402.0,0.08924,0.0
2729.0,200403.0,0.02045,0.0
2729.0,200404.0,-0.05051,0.0
2729.0,200405.0,-0.009,0.0
2729.0,200406.0,0.03464,0.0
2729.0,200407.0,-0.05654,0.0
2729.0,200408.0,-0.00696,0.0
2729.0,200409.0,0.04834,0.0
2729.0,200410.0,0.02761,0.0
2729.0,200411.0,0.10301,0.0
2729.0,200412.0,0.04401,0.0
2729.0,200501.0,-0.02316,0.0
2729.0,200502.0,0.01132,0.0
2729.0,200503.0,-0.03145,0.0
2729.0,200504.0,-0.04019,0.0
2729.0,200505.0,0.05518,0.0
2729.0,200506.0,0.01345,0.0
2729.0,200507.0,0.04745,0.0
2729.0,200508.0,-0.00619,0.0
2729.0,200509.0,0.02222,0.0
2729.0,200510.0,-0.0175,0.0
2729.0,200511.0,0.04234,0.0
2729.0,200512.0,0.01201,0.0
2729.0,200601.0,0.08174,0.0
2729.0,200602.0,0.02322,0.0
2729.0,200603.0,0.04609,0.0
2729.0,200604.0,0.0138,0.0
2729.0,200605.0,-0.04733,0.0
2729.0,200606.0,-0.01085,0.0
2729.0,200607.0,-0.03057,0.0
2729.0,200608.0,0.01671,0.0
2729.0,200609.0,0.03295,0.0
2729.0,200610.0,0.05048,0.0
2729.0,200611.0,0.03648,0.0
2729.0,200612.0,0.01245,0.0
2729.0,200701.0,0.04086,0.0
2729.0,200702.0,-0.00766,0.0
2729.0,200703.0,-0.00074,0.0
2729.0,200704.0,0.02715,0.0
2729.0,200705.0,0.03659,0.0
2729.0,200706.0,-0.00555,0.0
2729.0,200707.0,-0.0436,0.0
2729.0,200708.0,-0.01596,0.0
2729.0,200709.0,0.01807,0.0
2729.0,200710.0,0.01401,0.0
2729.0,200711.0,-0.05992,0.0
2729.0,200712.0,-0.03217,0.0
2729.0,200801.0,-0.02672,0.0
2729.0,200802.0,-0.01039,0.0
2729.0,200803.0,-0.02335,0.0
2729.0,200804.0,0.0648,0.0
2729.0,200805.0,0.01584,0.0
2729.0,200806.0,-0.1018,0.0
2729.0,200807.0,0.00594,0.0
2729.0,200808.0,0.02245,0.0
2729.0,200809.0,-0.11065,0.0
