fund number,time,return,isreplace
2708.0,200901.0,-0.03966,0.0
2708.0,200902.0,-0.10656,0.0
2708.0,200903.0,0.09445,0.0
2708.0,200904.0,0.17714,0.0
2708.0,200905.0,0.07496,0.0
2708.0,200906.0,0.0199,0.0
2708.0,200907.0,0.06113,0.0
2708.0,200908.0,0.07345,0.0
2708.0,200909.0,0.07119,0.0
2708.0,200910.0,-0.05504,0.0
2708.0,200911.0,0.06452,0.0
2708.0,200912.0,0.05716,0.0
2708.0,201001.0,-0.0203,0.0
2708.0,201002.0,0.02274,0.0
2708.0,201003.0,0.08961,0.0
2708.0,201004.0,0.07581,0.0
2708.0,201005.0,-0.08058,0.0
2708.0,201006.0,-0.07372,0.0
2708.0,201007.0,0.04448,0.0
2708.0,201008.0,-0.0611,0.0
2708.0,201009.0,0.10024,0.0
2708.0,201010.0,0.03739,0.0
2708.0,201011.0,0.00609,0.0
2708.0,201012.0,0.06104,0.0
2708.0,201101.0,0.04025,0.0
2708.0,201102.0,0.05709,0.0
2708.0,201103.0,0.00505,0.0
2708.0,201104.0,0.0286,0.0
2708.0,201105.0,-0.00647,0.0
2708.0,201106.0,-0.03283,0.0
2708.0,201107.0,-0.02583,0.0
2708.0,201108.0,-0.08144,0.0
2708.0,201109.0,-0.13152,0.0
2708.0,201110.0,0.13499,0.0
2708.0,201111.0,-0.01307,0.0
2708.0,201112.0,0.00875,0.0
2708.0,201201.0,0.07927,0.0
2708.0,201202.0,0.04654,0.0
2708.0,201203.0,0.01373,0.0
2708.0,201204.0,-0.03275,0.0
2708.0,201205.0,-0.05994,0.0
2708.0,201206.0,0.04175,0.0
2708.0,201207.0,-0.01588,0.0
2708.0,201208.0,0.03914,0.0
2708.0,201209.0,0.02828,0.0
2708.0,201210.0,-0.02458,0.0
2708.0,201211.0,0.00346,0.0
2708.0,201212.0,-0.00302,0.0
2708.0,201301.0,0.10956,0.0
2708.0,201302.0,0.01014,0.0
2708.0,201303.0,0.02817,0.0
2708.0,201304.0,-2e-05,0.0
2708.0,201305.0,0.03669,0.0
2708.0,201306.0,-0.01862,0.0
2708.0,201307.0,0.05884,0.0
2708.0,201308.0,-0.01484,0.0
2708.0,201309.0,0.0354,0.0
2708.0,201310.0,0.03067,0.0
2708.0,201311.0,0.05037,0.0
2708.0,201312.0,-0.00114,0.0
2769.0,200901.0,-0.00753,0.0
2769.0,200902.0,-0.12189,0.0
2769.0,200903.0,0.09493,0.0
2769.0,200904.0,0.20545,0.0
2769.0,200905.0,0.09238,0.0
2769.0,200906.0,0.01708,0.0
2769.0,200907.0,0.0895,0.0
2769.0,200908.0,0.04056,0.0
