fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
3257.0,200401.0,2.6122,7.4347,5.6141,9.6439,1.8648,2.3394,4.1918,2.6,2.29
3257.0,200402.0,1.0444,0.246,0.8748,1.1041,2.002,3.1512,2.4318,-1.09,1.46
3257.0,200403.0,-0.646,0.0359,0.4323,0.8479,-0.0386,-0.5464,-0.5932,0.21,-2.15
3257.0,200404.0,-2.1456,-3.5323,-2.8962,-3.2722,-1.3912,-3.3782,-4.495,-5.39,-0.21
3257.0,200405.0,1.5947,-1.0464,-0.0485,-0.0668,1.6278,1.8244,2.6119,1.61,2.26
3257.0,200406.0,1.5043,2.0563,3.1269,2.9621,1.7195,2.6815,3.1206,2.1,0.3
3257.0,200407.0,-7.1521,-10.7273,-5.2772,-4.0352,-6.2259,-3.6309,-2.3895,-2.29,-1.34
3257.0,200408.0,-1.5267,-2.7662,-0.3081,-1.5698,-1.7521,0.8597,0.0991,-1.55,-2.36
3257.0,200409.0,4.2283,4.6985,4.8787,3.3441,2.9624,3.7119,3.0197,5.24,3.04
3257.0,200410.0,2.3665,2.5174,1.907,1.3227,2.9191,2.1121,1.6583,-1.52,0.15
3257.0,200411.0,6.3408,10.3134,8.389,9.7191,5.0401,7.0028,7.9904,3.23,1.47
3257.0,200412.0,4.3478,7.8056,4.825,6.4923,4.5914,3.743,3.3282,-2.84,0.91
3257.0,200501.0,-1.8452,-5.5576,-3.0735,-2.1174,-3.095,-2.1968,-1.9716,3.21,1.49
3257.0,200502.0,1.5767,0.0825,0.9714,1.5728,1.6583,3.0695,2.781,3.16,-2.35
3257.0,200503.0,-1.3134,-5.4096,-2.3046,-1.6161,-1.3525,-1.1136,-0.6693,0.54,0.13
3257.0,200504.0,-5.3842,-7.012,-5.8827,-5.9099,-3.6351,-3.0782,-3.6685,-0.85,-1.85
3257.0,200505.0,5.243,6.7482,5.0035,3.4769,5.5289,4.7535,5.4207,0.43,3.16
3257.0,200506.0,3.2199,2.9887,3.618,4.0485,0.6894,3.0394,3.0555,2.05,0.04
3257.0,200507.0,6.4155,7.6016,7.1404,6.3426,5.2043,5.1982,4.8475,-0.01,-0.11
3257.0,200508.0,0.1659,-2.0943,-0.9503,-0.3427,-1.4482,-0.5695,-0.7949,2.27,-1.44
3257.0,200509.0,0.2209,0.7411,0.5148,0.8575,0.0983,1.3838,1.2918,3.46,-3.73
3257.0,200510.0,-3.5813,-4.3223,-2.7448,-2.6828,-1.5828,-2.7264,-3.1419,-1.28,1.58
3257.0,200511.0,5.2571,3.4987,3.7404,3.2183,4.998,4.3571,3.2227,0.25,0.09
3257.0,200512.0,1.1401,0.8007,0.1512,1.3211,0.494,1.1842,1.1884,0.77,1.95
3257.0,200601.0,7.3001,10.0755,8.6725,7.3746,3.7446,4.5291,4.8465,2.68,-1.1
3257.0,200602.0,0.05,0.8663,0.3361,0.6974,0.4074,0.2545,-1.0817,-1.84,3.35
3257.0,200603.0,3.35,4.2264,4.7742,5.2868,2.519,1.902,1.5237,1.26,0.03
3257.0,200604.0,2.6125,-0.7065,0.4994,1.8149,0.2913,0.9501,2.6648,0.61,-0.36
3257.0,200605.0,-4.6676,-7.9298,-4.0883,-3.4381,-4.0181,-2.5191,-2.14,-3.65,-0.03
3257.0,200606.0,-0.5935,-1.381,-0.7962,-0.0727,-0.4778,-0.7072,0.3026,1.49,-0.61
3257.0,200607.0,-3.8308,-5.5367,-2.9042,-2.4477,-3.3359,-1.9166,-1.207,-2.21,0.24
3257.0,200608.0,1.7589,3.048,2.1068,1.673,2.6322,1.7365,1.8825,-3.47,1.75
3257.0,200609.0,2.2369,-0.3241,0.9682,1.3747,2.3291,1.6582,1.488,-0.94,0.73
3257.0,200610.0,4.2268,6.058,5.4885,4.1566,3.8499,3.9121,3.7653,-0.24,-0.24
3257.0,200611.0,4.2939,2.9975,2.0952,2.5843,3.3352,3.1199,3.2205,-1.01,-0.97
3257.0,200612.0,-0.2745,0.2429,1.3376,2.7032,-0.5203,0.8296,1.8883,0.84,2.38
3257.0,200701.0,3.4862,2.7413,1.0795,2.8028,3.277,2.9886,2.0238,0.21,1.06
3257.0,200702.0,-0.0887,0.3866,-0.2706,0.6739,-0.3279,0.496,0.3281,-1.35,0.25
3257.0,200703.0,1.0204,0.5509,0.367,-0.3604,0.9033,1.2564,1.3292,2.49,-2.04
3257.0,200704.0,3.6891,3.1558,1.001,1.4512,4.2856,4.0503,3.4694,-0.16,-0.3
3257.0,200705.0,6.9039,2.105,2.5936,1.3859,4.1839,4.0567,3.5893,-0.26,-1.13
3257.0,200706.0,-1.0697,-0.4355,-0.9301,-0.0795,-1.4113,-1.7168,-1.9243,0.38,-0.84
3257.0,200707.0,-2.6432,-4.978,-5.3544,-5.2254,-2.4321,-4.29,-6.6082,2.8,-3.38
3257.0,200708.0,-1.0284,-0.7127,0.2377,-2.7707,1.0482,0.137,-2.2502,0.11,-2.64
