fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
2413.0,200401.0,1.9654,7.4347,5.6141,9.6439,1.8648,2.3394,4.1918,2.6,2.29
2413.0,200402.0,1.7977,0.246,0.8748,1.1041,2.002,3.1512,2.4318,-1.09,1.46
2413.0,200403.0,-1.868,0.0359,0.4323,0.8479,-0.0386,-0.5464,-0.5932,0.21,-2.15
2413.0,200404.0,-0.4606,-3.5323,-2.8962,-3.2722,-1.3912,-3.3782,-4.495,-5.39,-0.21
2413.0,200405.0,0.173,-1.0464,-0.0485,-0.0668,1.6278,1.8244,2.6119,1.61,2.26
2413.0,200406.0,1.5384,2.0563,3.1269,2.9621,1.7195,2.6815,3.1206,2.1,0.3
2413.0,200407.0,-2.3306,-10.7273,-5.2772,-4.0352,-6.2259,-3.6309,-2.3895,-2.29,-1.34
2413.0,200408.0,0.0751,-2.7662,-0.3081,-1.5698,-1.7521,0.8597,0.0991,-1.55,-2.36
2413.0,200409.0,0.8029,4.6985,4.8787,3.3441,2.9624,3.7119,3.0197,5.24,3.04
2413.0,200410.0,-0.129,2.5174,1.907,1.3227,2.9191,2.1121,1.6583,-1.52,0.15
2413.0,200411.0,3.5296,10.3134,8.389,9.7191,5.0401,7.0028,7.9904,3.23,1.47
2413.0,200412.0,2.4426,7.8056,4.825,6.4923,4.5914,3.743,3.3282,-2.84,0.91
2413.0,200501.0,-3.4029,-5.5576,-3.0735,-2.1174,-3.095,-2.1968,-1.9716,3.21,1.49
2724.0,200401.0,1.7595,7.4347,5.6141,9.6439,1.8648,2.3394,4.1918,2.6,2.29
2724.0,200402.0,1.585,0.246,0.8748,1.1041,2.002,3.1512,2.4318,-1.09,1.46
2724.0,200403.0,-0.2837,0.0359,0.4323,0.8479,-0.0386,-0.5464,-0.5932,0.21,-2.15
2724.0,200404.0,-1.8492,-3.5323,-2.8962,-3.2722,-1.3912,-3.3782,-4.495,-5.39,-0.21
2724.0,200405.0,1.2319,-1.0464,-0.0485,-0.0668,1.6278,1.8244,2.6119,1.61,2.26
2724.0,200406.0,2.2906,2.0563,3.1269,2.9621,1.7195,2.6815,3.1206,2.1,0.3
