fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
3257.0,0.12434,0.12548,0.12432,0.12666,0.1248,0.12455,0.12508,0.12477
3258.0,0.12466,0.12531,0.12456,0.12646,0.12487,0.12437,0.12521,0.12457
3259.0,0.12473,0.12503,0.12475,0.12691,0.12419,0.12469,0.12494,0.12475
3260.0,0.12474,0.12503,0.12474,0.1269,0.1242,0.1247,0.12495,0.12475
3261.0,0.12445,0.12576,0.1243,0.12661,0.12439,0.12469,0.1252,0.12461
3265.0,0.12444,0.12472,0.12492,0.12668,0.12507,0.1246,0.12488,0.12469
3325.0,0.12455,0.12479,0.125,0.12565,0.12567,0.12466,0.12488,0.12479
3326.0,0.12454,0.1248,0.12499,0.12567,0.12567,0.12465,0.12488,0.1248
3327.0,0.12462,0.12483,0.125,0.12562,0.12572,0.12468,0.12485,0.12468
3341.0,0.12503,0.12509,0.12438,0.12611,0.12505,0.12438,0.12557,0.12439
3342.0,0.12503,0.12509,0.12437,0.1261,0.12506,0.12438,0.12557,0.12439
3343.0,0.12478,0.12465,0.1246,0.12628,0.12528,0.12449,0.12529,0.12463
3348.0,0.12503,0.12513,0.1244,0.12604,0.12532,0.12418,0.12555,0.12436
3355.0,0.12468,0.12548,0.12455,0.12572,0.12486,0.12479,0.12531,0.1246
3356.0,0.12468,0.12549,0.12455,0.12572,0.12485,0.12479,0.12531,0.12461
3357.0,0.12468,0.12549,0.12455,0.12572,0.12486,0.12479,0.12531,0.1246
3931.0,0.12556,0.12388,0.12483,0.12557,0.12527,0.12484,0.12542,0.12463
3937.0,0.12557,0.12387,0.12483,0.12557,0.12527,0.12484,0.12542,0.12462
3941.0,0.12556,0.12389,0.12482,0.12557,0.12528,0.12483,0.12542,0.12462
3945.0,0.1255,0.12399,0.12484,0.12557,0.12541,0.12466,0.12542,0.12461
3956.0,0.12488,0.125,0.12427,0.12641,0.12457,0.12482,0.12496,0.12509
4495.0,0.12513,0.12427,0.12498,0.12522,0.12579,0.12472,0.12528,0.12462
4496.0,0.12514,0.12425,0.12499,0.12522,0.12579,0.12472,0.12528,0.12462
4497.0,0.12514,0.12426,0.12498,0.12521,0.12579,0.12472,0.12528,0.12462
4498.0,0.12513,0.12427,0.12498,0.12522,0.12579,0.12472,0.12528,0.12462
4499.0,0.12514,0.12426,0.12498,0.12521,0.12579,0.12472,0.12528,0.12462
4500.0,0.12514,0.12425,0.12498,0.12521,0.1258,0.12472,0.12528,0.12462
4501.0,0.12481,0.12394,0.12541,0.12693,0.12467,0.12452,0.12476,0.12496
4539.0,0.1248,0.12591,0.12417,0.12568,0.12531,0.12429,0.1255,0.12433
4540.0,0.1248,0.12593,0.12417,0.12568,0.1253,0.1243,0.1255,0.12433
4541.0,0.12485,0.12595,0.12405,0.12565,0.1255,0.12418,0.12551,0.12431
4542.0,0.12481,0.12591,0.12417,0.12568,0.1253,0.1243,0.1255,0.12432
4543.0,0.12485,0.12595,0.12405,0.12565,0.1255,0.12418,0.12552,0.12431
4713.0,0.1253,0.12397,0.12536,0.12467,0.12587,0.12478,0.12517,0.12489
5039.0,0.12598,0.12615,0.12365,0.12053,0.12666,0.12657,0.12664,0.12383
5041.0,0.12599,0.12592,0.1238,0.12065,0.12674,0.12647,0.12662,0.1238
5042.0,0.12588,0.12616,0.12372,0.12063,0.1267,0.12646,0.12661,0.12385
5050.0,0.12494,0.12563,0.12475,0.12541,0.12392,0.12521,0.12559,0.12455
5056.0,0.12464,0.12569,0.12431,0.12665,0.12407,0.12452,0.12568,0.12443
5162.0,0.12621,0.12397,0.1241,0.12494,0.1245,0.12626,0.12501,0.125
5163.0,0.12552,0.12414,0.12502,0.12488,0.12533,0.12498,0.12511,0.12501
5209.0,0.12423,0.12292,0.12983,0.12671,0.12227,0.12422,0.12459,0.12523
5346.0,0.12408,0.12497,0.12521,0.12772,0.12476,0.12408,0.12436,0.12481
5347.0,0.12406,0.12499,0.12521,0.12773,0.12478,0.12405,0.12436,0.12482
5348.0,0.1241,0.12492,0.12523,0.1277,0.12481,0.12405,0.12437,0.12481
5349.0,0.12408,0.12495,0.12522,0.12771,0.12486,0.12401,0.12435,0.12483
5382.0,0.12513,0.12468,0.12474,0.12471,0.12587,0.12515,0.12483,0.12489
5406.0,0.12513,0.12468,0.12474,0.12471,0.12588,0.12514,0.12483,0.12489
5415.0,0.12513,0.12469,0.12474,0.12471,0.12587,0.12514,0.12482,0.12489
5476.0,0.12537,0.12401,0.12535,0.12462,0.12581,0.12479,0.12502,0.12504
5477.0,0.125,0.12501,0.125,0.125,0.12497,0.12497,0.12512,0.12494
5922.0,0.12498,0.12456,0.12465,0.12526,0.12636,0.12426,0.12517,0.12477
5940.0,0.12495,0.12453,0.12507,0.12492,0.12585,0.1249,0.12494,0.12483
6742.0,0.12494,0.12507,0.1245,0.12589,0.1246,0.12508,0.12556,0.12436
6748.0,0.12518,0.12604,0.12423,0.12423,0.12467,0.12561,0.12539,0.12463
6772.0,0.12506,0.12409,0.12606,0.12472,0.12516,0.12499,0.12494,0.12498
6783.0,0.12499,0.12478,0.12483,0.12532,0.1257,0.12478,0.12486,0.12474
6861.0,0.12384,0.12745,0.12412,0.12425,0.12497,0.12573,0.12511,0.12453
6952.0,0.12464,0.12498,0.12537,0.12526,0.12534,0.12496,0.12464,0.12481
6953.0,0.12465,0.12498,0.12537,0.12525,0.12534,0.12497,0.12463,0.12481
6954.0,0.12464,0.12497,0.12537,0.12527,0.12532,0.12498,0.12464,0.12481
6972.0,0.12512,0.1251,0.12488,0.12463,0.1255,0.1249,0.12506,0.12482
7217.0,0.12496,0.12464,0.12483,0.12548,0.1252,0.12509,0.12493,0.12487
7219.0,0.12447,0.12463,0.12515,0.12561,0.12615,0.12439,0.12465,0.12495
7244.0,0.12486,0.12477,0.12537,0.12454,0.12539,0.12533,0.1243,0.12543
7245.0,0.12482,0.12482,0.12538,0.12458,0.12536,0.12532,0.12429,0.12545
7791.0,0.12518,0.12453,0.12487,0.12484,0.12584,0.12508,0.12482,0.12485
