fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2413.0,0.1252,0.12416,0.12508,0.12526,0.12563,0.12486,0.12497,0.12485
2724.0,0.12482,0.12439,0.12519,0.12514,0.12593,0.1249,0.12478,0.12483
2729.0,0.12488,0.12431,0.12508,0.12608,0.12523,0.12491,0.12478,0.12474
2731.0,0.12497,0.12414,0.12524,0.12449,0.12675,0.12482,0.1248,0.12478
2733.0,0.12492,0.12414,0.12518,0.12534,0.12599,0.12491,0.12473,0.12479
2755.0,0.12503,0.12454,0.12495,0.12501,0.12571,0.12513,0.12483,0.1248
2761.0,0.12507,0.12451,0.1248,0.12539,0.12516,0.12521,0.12501,0.12485
2762.0,0.12507,0.12451,0.1248,0.12539,0.12516,0.12521,0.12501,0.12485
2771.0,0.12457,0.12403,0.12542,0.12638,0.12587,0.12409,0.12451,0.12513
2777.0,0.12535,0.12403,0.12505,0.12537,0.12518,0.12509,0.12522,0.12471
2813.0,0.12497,0.12479,0.12483,0.12534,0.12568,0.12479,0.12486,0.12474
2815.0,0.12467,0.12527,0.12498,0.12576,0.12485,0.12496,0.12484,0.12468
2816.0,0.12435,0.12529,0.12527,0.12619,0.12471,0.12479,0.12458,0.12481
2818.0,0.12435,0.1253,0.12526,0.1262,0.12473,0.12477,0.12458,0.12481
2828.0,0.12435,0.12532,0.12526,0.1262,0.1247,0.12478,0.12458,0.12481
2842.0,0.12474,0.12519,0.12493,0.1257,0.12524,0.12479,0.12461,0.12479
2843.0,0.12474,0.12519,0.12493,0.1257,0.12525,0.12479,0.12461,0.12479
2844.0,0.12473,0.12519,0.12493,0.1257,0.12524,0.12479,0.12461,0.1248
2906.0,0.12492,0.12415,0.12516,0.12628,0.12514,0.12443,0.12535,0.12457
2908.0,0.12503,0.12501,0.12503,0.12503,0.12494,0.125,0.12509,0.12487
2911.0,0.12503,0.12442,0.125,0.12593,0.12532,0.12454,0.12522,0.12455
2912.0,0.12503,0.12443,0.12499,0.12593,0.12532,0.12454,0.12522,0.12455
2915.0,0.12491,0.12417,0.12515,0.12628,0.12514,0.12443,0.12535,0.12457
2926.0,0.12472,0.12461,0.12516,0.12515,0.12592,0.12478,0.1248,0.12486
2927.0,0.1247,0.12465,0.12515,0.12517,0.12588,0.1248,0.12478,0.12486
2928.0,0.12471,0.12463,0.12514,0.12515,0.12592,0.12478,0.1248,0.12486
2931.0,0.12503,0.12442,0.12501,0.12593,0.12531,0.12454,0.12522,0.12455
2936.0,0.12453,0.1254,0.1247,0.12649,0.12459,0.12462,0.12506,0.12461
2937.0,0.12455,0.12537,0.12471,0.12649,0.12459,0.12462,0.12506,0.12461
2938.0,0.12454,0.12538,0.1247,0.12649,0.12459,0.12463,0.12506,0.12461
2943.0,0.1249,0.12418,0.12515,0.12628,0.12514,0.12443,0.12535,0.12457
2944.0,0.1249,0.12419,0.12515,0.12628,0.12514,0.12442,0.12535,0.12457
2945.0,0.12492,0.12415,0.12516,0.12628,0.12514,0.12443,0.12535,0.12457
2949.0,0.12503,0.12442,0.125,0.12593,0.12531,0.12454,0.12522,0.12455
2959.0,0.12503,0.12441,0.12501,0.12593,0.12531,0.12455,0.12522,0.12455
2960.0,0.12491,0.12466,0.1249,0.12612,0.12505,0.12457,0.12525,0.12453
2989.0,0.12482,0.12433,0.12516,0.12522,0.1267,0.12416,0.12485,0.12475
2999.0,0.12483,0.12433,0.12514,0.12521,0.12671,0.12417,0.12486,0.12475
3006.0,0.12484,0.1243,0.12515,0.12524,0.12666,0.1242,0.12486,0.12475
3024.0,0.12538,0.124,0.12494,0.12542,0.12517,0.12515,0.12506,0.12487
3078.0,0.12492,0.12501,0.12474,0.12491,0.12588,0.12495,0.12488,0.12472
3081.0,0.1247,0.12469,0.1251,0.12525,0.12603,0.12473,0.12468,0.12483
3087.0,0.12492,0.12501,0.12474,0.12491,0.12588,0.12495,0.12488,0.12472
3088.0,0.12492,0.12501,0.12474,0.1249,0.12588,0.12496,0.12488,0.12472
3089.0,0.12492,0.12501,0.12474,0.12491,0.12587,0.12496,0.12488,0.12472
3313.0,0.12509,0.12418,0.12504,0.12551,0.12533,0.12502,0.12503,0.1248
3314.0,0.12508,0.1242,0.12504,0.12552,0.12532,0.12503,0.12503,0.1248
3315.0,0.1251,0.12417,0.12504,0.1255,0.12536,0.12501,0.12503,0.1248
3317.0,0.12512,0.12435,0.12487,0.12559,0.12531,0.12488,0.1251,0.12479
3318.0,0.12511,0.12436,0.12486,0.12559,0.12531,0.12487,0.1251,0.12479
3319.0,0.12512,0.12436,0.12486,0.12559,0.12531,0.12487,0.1251,0.12479
3324.0,0.12489,0.12424,0.12525,0.12564,0.1256,0.1247,0.12485,0.12483
3361.0,0.12496,0.12461,0.12488,0.12592,0.12568,0.12437,0.1249,0.12466
3362.0,0.12496,0.12462,0.12488,0.12592,0.12571,0.12435,0.1249,0.12466
3363.0,0.12496,0.12463,0.12488,0.12592,0.12569,0.12437,0.12489,0.12466
3369.0,0.12477,0.12485,0.12515,0.12532,0.12533,0.1249,0.12479,0.12489
3370.0,0.12477,0.12485,0.12516,0.12533,0.1253,0.12492,0.12479,0.12489
3371.0,0.12478,0.12484,0.12516,0.12531,0.12535,0.12489,0.12479,0.12489
3372.0,0.12478,0.12485,0.12514,0.12531,0.12534,0.12489,0.1248,0.12489
3394.0,0.12554,0.12423,0.12488,0.12556,0.12472,0.12505,0.12553,0.12447
3395.0,0.12553,0.12424,0.12488,0.12557,0.12473,0.12504,0.12554,0.12447
3396.0,0.12554,0.12423,0.12488,0.12556,0.12473,0.12505,0.12554,0.12447
3400.0,0.125,0.12418,0.12494,0.12635,0.1251,0.12478,0.12479,0.12485
3404.0,0.12501,0.12419,0.12493,0.12635,0.12508,0.1248,0.1248,0.12486
