fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2708.0,0.12466,0.12501,0.12489,0.12543,0.12519,0.12496,0.12493,0.12494
2769.0,0.12398,0.12621,0.12423,0.12607,0.12414,0.12537,0.12482,0.12517
2770.0,0.12402,0.12616,0.12425,0.12605,0.12418,0.12535,0.12482,0.12516
2772.0,0.12404,0.12615,0.12423,0.12604,0.1242,0.12536,0.12482,0.12516
2801.0,0.12467,0.12525,0.12463,0.12524,0.12499,0.1253,0.125,0.12493
2805.0,0.12467,0.12523,0.12464,0.12525,0.125,0.1253,0.125,0.12492
2899.0,0.12491,0.12464,0.12495,0.12536,0.12519,0.12509,0.12489,0.12498
2907.0,0.12514,0.1242,0.12498,0.12529,0.1252,0.12543,0.12481,0.12495
2909.0,0.12518,0.12413,0.12501,0.1253,0.12521,0.12542,0.12481,0.12494
2914.0,0.12492,0.12463,0.12496,0.12535,0.1252,0.12508,0.12489,0.12498
2916.0,0.12515,0.12417,0.125,0.1253,0.1252,0.12543,0.1248,0.12494
2918.0,0.1249,0.12464,0.12496,0.12536,0.12519,0.12508,0.12489,0.12498
2939.0,0.12516,0.12417,0.12499,0.12532,0.12518,0.12543,0.1248,0.12495
2940.0,0.12517,0.12415,0.125,0.12531,0.12521,0.12541,0.12481,0.12494
2942.0,0.1252,0.1241,0.12501,0.12528,0.12525,0.12541,0.12481,0.12494
2951.0,0.12491,0.12464,0.12496,0.12535,0.12519,0.12508,0.12489,0.12498
2952.0,0.12491,0.12463,0.12496,0.12536,0.1252,0.12508,0.12489,0.12498
3087.0,0.12506,0.1244,0.12503,0.12557,0.12469,0.12553,0.12478,0.12494
3088.0,0.12506,0.1244,0.12503,0.12559,0.12468,0.12552,0.12478,0.12494
3089.0,0.12504,0.12441,0.12503,0.12562,0.12464,0.12554,0.12478,0.12494
3449.0,0.12474,0.12495,0.12496,0.12501,0.12562,0.12491,0.12498,0.12484
3452.0,0.12392,0.12599,0.12458,0.12508,0.12484,0.12555,0.12495,0.12509
3459.0,0.12296,0.1269,0.12545,0.12544,0.12424,0.12496,0.12512,0.12495
3463.0,0.12474,0.12495,0.12496,0.12501,0.12563,0.1249,0.12498,0.12484
3475.0,0.12349,0.12648,0.12456,0.12548,0.12437,0.12556,0.12491,0.12514
