fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
3931.0,0.10231,0.07027,0.10787,0.3029,0.09634,0.10006,0.12144,0.09882
3937.0,0.10303,0.06988,0.10832,0.3006,0.09775,0.0998,0.12158,0.09904
3941.0,0.10296,0.07041,0.1076,0.30073,0.09769,0.10014,0.1214,0.09907
3945.0,0.10287,0.07122,0.1065,0.30031,0.09822,0.10032,0.12162,0.09895
3956.0,0.10098,0.06923,0.11048,0.30206,0.09522,0.1007,0.12169,0.09964
4495.0,0.09098,0.09379,0.11006,0.25539,0.13304,0.09982,0.11703,0.09989
4496.0,0.09094,0.09407,0.10993,0.25344,0.13495,0.09943,0.11728,0.09995
4497.0,0.09066,0.09544,0.10854,0.25539,0.1323,0.10033,0.11697,0.10037
4539.0,0.1084,0.1807,0.11239,0.11431,0.1315,0.11141,0.14915,0.09214
4540.0,0.10786,0.18336,0.11115,0.1128,0.13183,0.11176,0.14925,0.09197
4541.0,0.1078,0.18177,0.1126,0.11492,0.12968,0.11189,0.14911,0.09223
4542.0,0.10851,0.18077,0.1115,0.11478,0.13042,0.11188,0.14903,0.09311
4543.0,0.10837,0.18057,0.11278,0.11246,0.13094,0.11282,0.1497,0.09235
4658.0,0.10844,0.18068,0.11185,0.11333,0.13207,0.11205,0.1496,0.09199
4713.0,0.13133,0.11553,0.12178,0.13559,0.13151,0.11631,0.12571,0.12223
5039.0,0.14957,0.1314,0.09709,0.18985,0.09978,0.10677,0.12475,0.1008
5041.0,0.14798,0.13755,0.09822,0.19331,0.10032,0.09828,0.12319,0.10116
5042.0,0.14798,0.13283,0.0973,0.19162,0.09911,0.10623,0.12407,0.10086
5050.0,0.14921,0.13105,0.09794,0.18983,0.09993,0.10628,0.12453,0.10123
5056.0,0.12556,0.1147,0.10493,0.22035,0.11047,0.10161,0.12069,0.10169
5252.0,0.09621,0.09914,0.13615,0.17202,0.14758,0.12915,0.11545,0.1043
5476.0,0.12381,0.12525,0.12186,0.12616,0.13441,0.12243,0.12305,0.12302
5477.0,0.12471,0.12342,0.12189,0.1246,0.13597,0.12264,0.12346,0.12332
5922.0,0.0889,0.08386,0.10836,0.3486,0.07391,0.10435,0.10249,0.08952
5940.0,0.09454,0.1152,0.10157,0.14895,0.16103,0.15694,0.11708,0.1047
6742.0,0.10561,0.10615,0.11307,0.17398,0.15367,0.11882,0.12302,0.10568
6772.0,0.12514,0.11056,0.10401,0.10436,0.23028,0.0932,0.12105,0.11139
6783.0,0.09871,0.08555,0.11284,0.27856,0.10612,0.10311,0.11349,0.10162
6861.0,0.10769,0.10954,0.09128,0.12972,0.13866,0.20027,0.13004,0.0928
6937.0,0.1007,0.09908,0.11537,0.15092,0.17299,0.13775,0.11945,0.10374
6952.0,0.09986,0.09713,0.11442,0.14892,0.17355,0.1421,0.12182,0.10219
6953.0,0.09982,0.10371,0.11199,0.14659,0.1728,0.14065,0.12009,0.10435
6954.0,0.09951,0.09766,0.11389,0.14754,0.17748,0.1397,0.12189,0.10233
6972.0,0.11165,0.10868,0.12087,0.14955,0.1201,0.11996,0.15927,0.10993
7792.0,0.09455,0.09915,0.1069,0.1515,0.20343,0.1202,0.12409,0.10019
7793.0,0.09402,0.09943,0.10722,0.15245,0.20268,0.12003,0.12405,0.10013
7794.0,0.09425,0.0993,0.10668,0.15211,0.20352,0.12004,0.12404,0.10006
7795.0,0.09497,0.10032,0.10827,0.16256,0.18825,0.11867,0.12563,0.10133
7796.0,0.09371,0.09924,0.10782,0.15346,0.20213,0.11982,0.12391,0.09991
7989.0,0.15881,0.13731,0.12237,0.06686,0.09832,0.13496,0.1356,0.14576
7991.0,0.15225,0.13883,0.12408,0.0668,0.10495,0.13011,0.13635,0.14664
7992.0,0.15478,0.13596,0.12712,0.06619,0.10202,0.13127,0.13625,0.14641
8036.0,0.08216,0.26342,0.10472,0.10277,0.11954,0.12262,0.11241,0.09237
8072.0,0.11962,0.09021,0.14143,0.11372,0.19082,0.14207,0.09205,0.11009
8264.0,0.12107,0.07426,0.19287,0.09406,0.15737,0.14276,0.09214,0.12547
8265.0,0.11809,0.0747,0.19348,0.09057,0.1611,0.14553,0.0934,0.12313
8266.0,0.12034,0.07438,0.19357,0.09105,0.1623,0.14257,0.09292,0.12288
8643.0,0.12459,0.07528,0.18697,0.10161,0.14506,0.14151,0.10418,0.1208
8644.0,0.12452,0.07368,0.19017,0.10182,0.14622,0.13992,0.1036,0.12006
8645.0,0.11648,0.09649,0.18365,0.13483,0.12416,0.12833,0.09531,0.12075
8646.0,0.12573,0.07416,0.18742,0.10017,0.14694,0.14104,0.10417,0.12038
8649.0,0.12487,0.07404,0.18931,0.10162,0.14502,0.14078,0.10409,0.12027
9069.0,0.10814,0.10594,0.11387,0.16423,0.11538,0.16538,0.11272,0.11435
9074.0,0.10854,0.10619,0.11389,0.16236,0.11677,0.16468,0.11308,0.11449
9124.0,0.03574,0.00899,0.06788,0.0047,0.77042,0.04382,0.01285,0.05561
9128.0,0.11651,0.10938,0.12994,0.14277,0.16974,0.10655,0.12278,0.10232
9139.0,0.10601,0.27318,0.08046,0.12826,0.11478,0.11115,0.10955,0.0766
9171.0,0.10249,0.10006,0.10664,0.15591,0.14747,0.16475,0.11912,0.10356
9172.0,0.09008,0.11944,0.1046,0.15676,0.16402,0.14709,0.11057,0.10743
9509.0,0.10264,0.09457,0.11085,0.14721,0.16137,0.16224,0.11867,0.10246
9542.0,0.1029,0.09453,0.11062,0.14672,0.16142,0.16282,0.11872,0.10228
9544.0,0.10274,0.09423,0.11104,0.14702,0.16176,0.16197,0.11872,0.10252
