fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2413.0,0.08435,0.12462,0.12185,0.19167,0.14073,0.13352,0.09308,0.1102
2724.0,0.10375,0.09706,0.11091,0.17668,0.15807,0.13146,0.1199,0.10217
2729.0,0.09785,0.09497,0.09172,0.29616,0.08683,0.12297,0.11496,0.09454
2731.0,0.08601,0.12406,0.09818,0.13285,0.18727,0.15913,0.11314,0.09935
2733.0,0.08735,0.12661,0.09258,0.19144,0.14167,0.14736,0.11403,0.09896
2755.0,0.09776,0.1188,0.11005,0.18474,0.13586,0.13904,0.11515,0.09862
2761.0,0.09029,0.11149,0.08836,0.2671,0.10608,0.11916,0.12151,0.09601
2762.0,0.09053,0.11144,0.08826,0.26687,0.10601,0.11923,0.12156,0.0961
2771.0,0.09058,0.1111,0.08846,0.26631,0.10611,0.11974,0.12171,0.09598
2777.0,0.09982,0.12256,0.09577,0.23177,0.08305,0.13336,0.14582,0.08785
2807.0,0.10166,0.11158,0.09154,0.25128,0.06063,0.14674,0.15083,0.08575
2813.0,0.10457,0.079,0.09468,0.27936,0.13423,0.0918,0.1209,0.09546
2815.0,0.11679,0.07715,0.11898,0.21645,0.13839,0.10056,0.13314,0.09854
2816.0,0.10885,0.11667,0.07813,0.25903,0.08643,0.12097,0.13188,0.09805
2818.0,0.1233,0.09499,0.09795,0.23221,0.10988,0.11694,0.12901,0.0957
2828.0,0.10925,0.10458,0.09812,0.25878,0.09925,0.10329,0.12658,0.10014
2842.0,0.1068,0.09917,0.10533,0.24684,0.12451,0.08918,0.12503,0.10313
2843.0,0.10691,0.09152,0.11023,0.24879,0.12596,0.0948,0.12478,0.09701
2844.0,0.11467,0.08125,0.11171,0.24587,0.13555,0.09056,0.12326,0.09714
2900.0,0.09464,0.13321,0.10031,0.16683,0.14631,0.15276,0.10844,0.0975
2901.0,0.0873,0.15128,0.09909,0.17081,0.12577,0.15042,0.11226,0.10306
2902.0,0.09563,0.14035,0.09087,0.16609,0.14349,0.15359,0.10775,0.10223
2906.0,0.10101,0.10244,0.0998,0.20369,0.13816,0.115,0.14224,0.09766
2908.0,0.09353,0.09824,0.10864,0.22412,0.11163,0.12209,0.13961,0.10214
2911.0,0.09562,0.09529,0.10325,0.2921,0.08919,0.11443,0.11262,0.09749
2912.0,0.09645,0.08938,0.1072,0.28514,0.0938,0.10908,0.1143,0.10465
2915.0,0.0998,0.08775,0.10129,0.23612,0.11894,0.12036,0.13838,0.09736
2926.0,0.08636,0.14445,0.105,0.16975,0.14316,0.13871,0.10399,0.10859
2927.0,0.09623,0.12199,0.11267,0.16528,0.14744,0.14834,0.10371,0.10434
2928.0,0.09509,0.14142,0.10018,0.17374,0.13309,0.1446,0.10906,0.10281
2931.0,0.09116,0.09063,0.10058,0.30433,0.08008,0.11858,0.11602,0.09862
2936.0,0.11273,0.07128,0.11056,0.314,0.0772,0.11478,0.1075,0.09195
2937.0,0.12286,0.08602,0.09938,0.29381,0.07548,0.11222,0.11001,0.10022
2938.0,0.13122,0.08018,0.1015,0.27955,0.07285,0.12428,0.1058,0.10462
2943.0,0.09915,0.11181,0.08581,0.21599,0.12006,0.12785,0.1434,0.09594
2944.0,0.0998,0.10542,0.09708,0.21288,0.11763,0.12919,0.143,0.095
2945.0,0.09772,0.10484,0.09853,0.21861,0.12589,0.11595,0.13875,0.09972
2949.0,0.09679,0.10563,0.09218,0.29434,0.07974,0.12093,0.11413,0.09625
2959.0,0.10786,0.08947,0.09939,0.28933,0.08571,0.11351,0.11603,0.0987
2960.0,0.0986,0.12856,0.09173,0.17969,0.14739,0.11151,0.14549,0.09704
2961.0,0.10303,0.12534,0.09699,0.15228,0.1464,0.12775,0.14664,0.10157
2962.0,0.10135,0.12407,0.08758,0.15101,0.15461,0.12617,0.15025,0.10495
2963.0,0.10298,0.10806,0.10702,0.14742,0.16915,0.11522,0.14468,0.10547
2989.0,0.13863,0.09288,0.09759,0.12936,0.16344,0.14412,0.13154,0.10243
2995.0,0.09296,0.1295,0.10061,0.17992,0.1236,0.14527,0.12888,0.09926
2996.0,0.10039,0.1141,0.09005,0.15869,0.16301,0.14789,0.12896,0.09691
2997.0,0.09789,0.11547,0.09323,0.19239,0.12342,0.15148,0.12517,0.10094
2998.0,0.0946,0.12977,0.09067,0.18318,0.13301,0.14502,0.12341,0.10034
2999.0,0.11048,0.09589,0.10618,0.1387,0.18548,0.13666,0.12623,0.10038
3000.0,0.09988,0.12321,0.08317,0.1731,0.13427,0.15767,0.13125,0.09745
3005.0,0.12099,0.09556,0.1046,0.14289,0.15692,0.14589,0.1333,0.09983
3006.0,0.11744,0.10785,0.09416,0.13815,0.1682,0.14568,0.12826,0.10027
3024.0,0.09892,0.11318,0.10617,0.19454,0.14693,0.12786,0.10562,0.10678
3050.0,0.11317,0.11269,0.11686,0.13447,0.1551,0.13539,0.12741,0.10491
3051.0,0.11667,0.11216,0.12427,0.14039,0.14973,0.1265,0.12569,0.10459
3052.0,0.12398,0.09882,0.11353,0.13984,0.16096,0.13218,0.12658,0.1041
3053.0,0.12153,0.09708,0.12058,0.1456,0.14735,0.13286,0.12863,0.10638
3054.0,0.11351,0.11651,0.10877,0.14892,0.1459,0.13033,0.12862,0.10744
3067.0,0.10412,0.11372,0.11752,0.16101,0.15441,0.12399,0.12159,0.10365
3069.0,0.11116,0.10197,0.12005,0.1598,0.15494,0.12853,0.12121,0.10234
3070.0,0.1163,0.09159,0.12117,0.17322,0.13979,0.13202,0.12261,0.1033
3071.0,0.11043,0.09662,0.12157,0.17302,0.14087,0.13156,0.12291,0.10301
3072.0,0.11699,0.09969,0.11033,0.16536,0.15454,0.12916,0.12169,0.10223
3078.0,0.10864,0.12066,0.10917,0.15589,0.14873,0.15298,0.10242,0.1015
3081.0,0.09195,0.11358,0.12669,0.15113,0.18027,0.13262,0.10419,0.09957
3087.0,0.10533,0.10926,0.11627,0.15073,0.15877,0.15584,0.10353,0.10026
3088.0,0.1018,0.12149,0.11876,0.16167,0.13197,0.15832,0.10771,0.09827
3089.0,0.09549,0.12606,0.11985,0.1583,0.15997,0.14392,0.10237,0.09404
3313.0,0.10175,0.09493,0.12503,0.24515,0.11486,0.13278,0.0792,0.10632
3314.0,0.10432,0.0814,0.09081,0.26679,0.1309,0.12847,0.09118,0.10613
3315.0,0.1004,0.12685,0.10026,0.22766,0.08759,0.17896,0.07762,0.10065
3317.0,0.09515,0.12067,0.09256,0.22002,0.11166,0.14097,0.11639,0.10258
3318.0,0.09842,0.11927,0.09879,0.2092,0.1354,0.1218,0.11882,0.09829
3319.0,0.09718,0.106,0.10942,0.20563,0.13443,0.13184,0.10943,0.10608
3324.0,0.09368,0.12345,0.09444,0.20657,0.13756,0.12196,0.11438,0.10796
3361.0,0.10959,0.08335,0.09372,0.34544,0.05595,0.13035,0.0842,0.09741
3362.0,0.09169,0.09151,0.09583,0.37869,0.04444,0.12955,0.07685,0.09144
3363.0,0.09448,0.09492,0.09344,0.3661,0.04767,0.12143,0.09056,0.09141
3369.0,0.10154,0.111,0.12281,0.15194,0.1549,0.14377,0.10997,0.10406
3370.0,0.11126,0.11285,0.11862,0.13278,0.16097,0.14839,0.10777,0.10735
3371.0,0.1102,0.11691,0.11657,0.15079,0.15346,0.13342,0.10945,0.10921
3372.0,0.10305,0.11515,0.11901,0.14914,0.15905,0.14116,0.10865,0.10479
3394.0,0.10391,0.09444,0.09313,0.27067,0.08184,0.13361,0.11942,0.10297
3395.0,0.11096,0.10764,0.09577,0.23288,0.12121,0.11541,0.11779,0.09834
3396.0,0.13378,0.08617,0.10351,0.24002,0.07661,0.13982,0.11779,0.1023
3400.0,0.09587,0.12856,0.07798,0.30001,0.07657,0.11636,0.10391,0.10074
3404.0,0.10295,0.09429,0.09793,0.31997,0.07862,0.11103,0.09814,0.09708
3405.0,0.10049,0.11288,0.09496,0.27297,0.09201,0.13062,0.09539,0.10067
3412.0,0.09816,0.10314,0.10364,0.1381,0.19979,0.14191,0.10521,0.11005
3413.0,0.10078,0.10683,0.11972,0.17286,0.13598,0.14963,0.10054,0.11365
3414.0,0.11736,0.10413,0.0912,0.27551,0.07458,0.14782,0.08874,0.10067
3421.0,0.0983,0.11409,0.11766,0.18866,0.1325,0.13643,0.10383,0.10852
3429.0,0.1082,0.11799,0.109,0.17091,0.13959,0.13837,0.10381,0.11212
3436.0,0.11014,0.1059,0.10674,0.17353,0.15287,0.14237,0.10073,0.10772
3437.0,0.09479,0.11626,0.10141,0.14258,0.17225,0.15203,0.1095,0.11118
3438.0,0.09439,0.11627,0.10932,0.14658,0.15993,0.15042,0.11054,0.11255
3439.0,0.09756,0.11712,0.10218,0.13314,0.18776,0.14479,0.10652,0.11093
3443.0,0.09662,0.10452,0.10108,0.21147,0.14566,0.11375,0.12283,0.10408
3450.0,0.11633,0.1007,0.11918,0.14362,0.16065,0.12968,0.12363,0.1062
3460.0,0.09083,0.1264,0.08878,0.22818,0.11664,0.12145,0.1253,0.10241
