fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2708.0,0.10875,0.10226,0.11993,0.15799,0.15264,0.12835,0.12234,0.10774
2769.0,0.08198,0.11846,0.08562,0.30992,0.08571,0.11324,0.11192,0.09315
2770.0,0.08163,0.11857,0.08536,0.31176,0.08482,0.11296,0.11175,0.09314
2772.0,0.08249,0.11835,0.08536,0.30886,0.08559,0.11403,0.11209,0.09322
2776.0,0.089,0.13129,0.1033,0.19222,0.11272,0.17403,0.0902,0.10724
2801.0,0.08775,0.11625,0.09109,0.14224,0.19261,0.15214,0.11637,0.10155
2805.0,0.0878,0.11753,0.08926,0.13575,0.18847,0.15934,0.12198,0.09987
2889.0,0.09482,0.12312,0.09175,0.24212,0.09282,0.16116,0.09218,0.10203
2897.0,0.09495,0.12118,0.09235,0.24004,0.0937,0.16368,0.09199,0.10212
2899.0,0.09871,0.1157,0.10937,0.17793,0.13831,0.13842,0.11835,0.1032
2907.0,0.10485,0.10201,0.10553,0.15811,0.14286,0.18265,0.09903,0.10496
2909.0,0.10309,0.10364,0.10493,0.15944,0.14405,0.18132,0.09858,0.10496
2914.0,0.09875,0.11637,0.10843,0.17905,0.13689,0.13916,0.11837,0.10299
2916.0,0.10211,0.10322,0.10683,0.16207,0.14333,0.1791,0.09851,0.10483
2918.0,0.09932,0.11528,0.10938,0.17713,0.13832,0.13901,0.11852,0.10305
2920.0,0.0842,0.12263,0.09748,0.24779,0.11022,0.12794,0.10595,0.10379
2939.0,0.10388,0.10275,0.10576,0.1578,0.14491,0.18155,0.09871,0.10464
2940.0,0.10374,0.10175,0.1072,0.16007,0.14549,0.17875,0.0985,0.1045
2942.0,0.10338,0.10288,0.10591,0.16175,0.1414,0.18131,0.09892,0.10446
2951.0,0.09977,0.11561,0.10867,0.17623,0.13875,0.13937,0.11851,0.10309
2952.0,0.0997,0.11607,0.1078,0.17791,0.13671,0.13994,0.1187,0.10317
2954.0,0.0876,0.11727,0.09818,0.24746,0.11131,0.12922,0.10613,0.10283
2956.0,0.08643,0.11947,0.09884,0.2472,0.1116,0.12695,0.10608,0.10343
2958.0,0.08654,0.11752,0.0986,0.24942,0.11057,0.12815,0.10648,0.10272
3087.0,0.10544,0.10218,0.10598,0.16419,0.13933,0.17847,0.09858,0.10584
3088.0,0.1054,0.10192,0.10653,0.16384,0.14032,0.17771,0.09856,0.10573
3089.0,0.1056,0.102,0.10619,0.16311,0.14052,0.17806,0.09877,0.10576
3300.0,0.11148,0.10401,0.09587,0.24451,0.11431,0.14852,0.08156,0.09973
3301.0,0.11882,0.09671,0.09583,0.24404,0.11006,0.15755,0.08009,0.0969
3302.0,0.11954,0.09539,0.09518,0.24793,0.11161,0.15316,0.07799,0.09921
3337.0,0.08998,0.11889,0.10198,0.17718,0.15216,0.14099,0.11367,0.10515
3338.0,0.08926,0.1184,0.10332,0.17866,0.15136,0.14092,0.11339,0.1047
3339.0,0.09022,0.11957,0.1014,0.17865,0.15031,0.14127,0.11396,0.10462
3340.0,0.08855,0.11944,0.10291,0.179,0.15116,0.14044,0.11335,0.10516
3349.0,0.09265,0.12271,0.10311,0.13521,0.17729,0.15262,0.10415,0.11226
3350.0,0.09303,0.12207,0.10321,0.13441,0.17938,0.15233,0.1041,0.11147
3351.0,0.09279,0.12267,0.10271,0.13464,0.17962,0.15156,0.10434,0.11168
3375.0,0.09468,0.11966,0.10457,0.15282,0.17337,0.1464,0.09321,0.11529
3376.0,0.09477,0.11951,0.10459,0.15275,0.17297,0.14678,0.09324,0.11539
3377.0,0.09438,0.12011,0.10452,0.15303,0.1732,0.1463,0.09314,0.11531
3449.0,0.10507,0.10891,0.12298,0.15254,0.14718,0.12934,0.12874,0.10523
3452.0,0.08755,0.13722,0.09797,0.14174,0.14363,0.17772,0.11643,0.09775
