fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
3257.0,0.05966,0.14911,0.05883,0.38166,0.08682,0.07071,0.10879,0.08441
3258.0,0.08161,0.13744,0.07512,0.34152,0.09688,0.06452,0.12708,0.07583
3259.0,0.07815,0.09962,0.07965,0.44377,0.05071,0.07569,0.09291,0.07952
3260.0,0.079,0.09977,0.07942,0.44091,0.05119,0.07648,0.09349,0.07972
3261.0,0.06499,0.18476,0.05729,0.36112,0.06174,0.07845,0.118,0.07364
3265.0,0.06626,0.08258,0.09711,0.39482,0.10951,0.07488,0.09394,0.0809
3325.0,0.08322,0.0988,0.11789,0.19826,0.20466,0.08933,0.10789,0.09995
3326.0,0.08216,0.09991,0.11751,0.2002,0.2036,0.08868,0.10775,0.10018
3327.0,0.09046,0.1021,0.11824,0.19286,0.2022,0.09581,0.10457,0.09376
3341.0,0.11423,0.11994,0.06762,0.27003,0.11618,0.06791,0.1757,0.06838
3342.0,0.11439,0.12031,0.06749,0.26893,0.11706,0.06759,0.17582,0.06842
3343.0,0.09331,0.08402,0.08075,0.30709,0.1387,0.07383,0.14006,0.08225
3348.0,0.11365,0.12301,0.06858,0.25401,0.14392,0.05776,0.17231,0.06674
3355.0,0.09144,0.17355,0.08241,0.21011,0.10573,0.09952,0.15122,0.086
3356.0,0.09121,0.17398,0.08236,0.21044,0.10505,0.09979,0.15115,0.08601
3357.0,0.09126,0.17391,0.08232,0.21038,0.10538,0.09963,0.15116,0.08595
3931.0,0.18314,0.04578,0.10036,0.1784,0.14049,0.10431,0.16205,0.08548
3937.0,0.18089,0.04655,0.10049,0.182,0.14229,0.10138,0.1613,0.0851
3941.0,0.1829,0.04628,0.09972,0.17895,0.14169,0.10336,0.16183,0.08527
3945.0,0.17383,0.05028,0.10173,0.17994,0.15836,0.09022,0.16128,0.08437
3956.0,0.09923,0.10919,0.06076,0.33617,0.07736,0.09451,0.10538,0.1174
4495.0,0.13076,0.06526,0.11594,0.14004,0.22067,0.09384,0.1468,0.08669
4496.0,0.13123,0.0643,0.11649,0.1399,0.22069,0.09379,0.14672,0.08688
4497.0,0.13151,0.06473,0.11564,0.13942,0.22145,0.09383,0.14697,0.08645
4498.0,0.131,0.06557,0.11539,0.13998,0.22025,0.09407,0.14718,0.08656
4499.0,0.13138,0.06488,0.11571,0.13958,0.22114,0.09379,0.14702,0.08651
4500.0,0.13174,0.06432,0.11561,0.13932,0.22167,0.09384,0.14708,0.08643
4501.0,0.08151,0.04049,0.13148,0.43897,0.07305,0.06455,0.07798,0.09197
4539.0,0.0942,0.22793,0.05672,0.18876,0.14122,0.0624,0.1645,0.06428
4540.0,0.09344,0.23004,0.05658,0.18974,0.13947,0.06253,0.16388,0.06431
4541.0,0.09565,0.23014,0.05029,0.18142,0.16141,0.05586,0.16293,0.0623
4542.0,0.09467,0.22717,0.05646,0.18956,0.14032,0.06296,0.1648,0.06406
4543.0,0.09602,0.22976,0.05027,0.18114,0.16108,0.05618,0.16324,0.06231
4713.0,0.15946,0.04281,0.15344,0.08517,0.21449,0.10418,0.13288,0.10758
5039.0,0.13332,0.15297,0.02076,0.00161,0.22865,0.21347,0.2253,0.02392
5041.0,0.13873,0.1303,0.0239,0.00182,0.25012,0.20256,0.22852,0.02404
5042.0,0.12676,0.15745,0.02238,0.00179,0.24245,0.19949,0.22487,0.02483
5050.0,0.10982,0.18951,0.09419,0.15899,0.04824,0.13593,0.18324,0.08006
5056.0,0.07244,0.16903,0.05598,0.36188,0.04648,0.06536,0.16726,0.06157
5162.0,0.26248,0.04408,0.04968,0.09729,0.06649,0.27768,0.10141,0.10089
5163.0,0.1815,0.06034,0.12179,0.10925,0.15647,0.11837,0.13115,0.12112
5209.0,0.00429,0.00091,0.91181,0.0579,0.00072,0.0061,0.00645,0.01182
5346.0,0.02801,0.09551,0.06838,0.62359,0.05097,0.03308,0.0398,0.06067
5347.0,0.03283,0.07246,0.08263,0.61391,0.06134,0.03245,0.04236,0.06202
5348.0,0.03461,0.06934,0.08527,0.60972,0.06334,0.03282,0.04305,0.06185
5349.0,0.03421,0.06885,0.0853,0.61041,0.06424,0.03223,0.0424,0.06235
5382.0,0.13238,0.09186,0.09642,0.09428,0.23859,0.1341,0.10341,0.10896
5406.0,0.1322,0.09216,0.09631,0.09422,0.23981,0.1332,0.10333,0.10877
5415.0,0.13181,0.09266,0.09633,0.09457,0.23877,0.13351,0.1034,0.10895
5476.0,0.15945,0.04665,0.15714,0.08234,0.2262,0.0947,0.11674,0.11679
5477.0,0.12492,0.12608,0.12507,0.12445,0.12149,0.12174,0.13706,0.11919
5922.0,0.10749,0.07661,0.08261,0.13472,0.32195,0.06038,0.12553,0.09073
5940.0,0.11288,0.08409,0.12711,0.11509,0.23127,0.11102,0.11378,0.10475
6742.0,0.10952,0.12059,0.07726,0.23563,0.08361,0.124,0.18027,0.06912
6748.0,0.1282,0.25324,0.05983,0.05983,0.08495,0.1804,0.15137,0.08217
6772.0,0.12031,0.05531,0.26607,0.09194,0.13005,0.11348,0.10976,0.11307
6783.0,0.12007,0.10106,0.10511,0.15582,0.21108,0.10124,0.1076,0.09804
6861.0,0.03037,0.53883,0.03821,0.04227,0.07526,0.13778,0.08453,0.05276
6952.0,0.09169,0.12041,0.16393,0.15051,0.15956,0.11788,0.09116,0.10486
6953.0,0.09201,0.11992,0.16412,0.14917,0.16065,0.11873,0.09102,0.10438
6954.0,0.0917,0.11913,0.16419,0.15092,0.15811,0.11989,0.09116,0.10488
6972.0,0.13486,0.13232,0.11133,0.09098,0.18272,0.11315,0.12817,0.10648
7217.0,0.11885,0.09223,0.10718,0.17974,0.14389,0.13173,0.11622,0.11015
7219.0,0.07281,0.08257,0.12543,0.18174,0.27841,0.06815,0.08396,0.10694
7244.0,0.10583,0.09864,0.16028,0.08246,0.16274,0.15491,0.06803,0.16711
7245.0,0.10344,0.10059,0.16199,0.08573,0.15443,0.15687,0.06802,0.16894
7791.0,0.1375,0.08172,0.10704,0.10489,0.23372,0.12675,0.10309,0.1053
7792.0,0.13765,0.08231,0.10688,0.10504,0.23193,0.12772,0.10311,0.10537
7793.0,0.10882,0.12173,0.12475,0.12139,0.14832,0.15263,0.11729,0.10508
7794.0,0.15969,0.13607,0.15179,0.10407,0.11547,0.13649,0.10473,0.09168
7795.0,0.13582,0.12871,0.12637,0.12645,0.12826,0.13533,0.10114,0.11792
7796.0,0.19966,0.03595,0.12941,0.07999,0.14707,0.2256,0.1022,0.08012
7989.0,0.10321,0.17329,0.15707,0.07555,0.04564,0.23859,0.10677,0.09988
7990.0,0.14048,0.18266,0.05122,0.04474,0.11241,0.15428,0.119,0.19521
7991.0,0.11864,0.08703,0.15523,0.04282,0.23974,0.10836,0.16136,0.08681
7992.0,0.10572,0.14432,0.10811,0.04744,0.06363,0.21862,0.21786,0.0943
8036.0,0.18724,0.29241,0.07836,0.0165,0.18226,0.11935,0.04008,0.08381
9069.0,0.12798,0.12624,0.12584,0.12593,0.1257,0.12539,0.12137,0.12156
9074.0,0.13539,0.12702,0.11875,0.13399,0.12403,0.12462,0.09838,0.13782
9137.0,0.13227,0.12554,0.12409,0.12673,0.1197,0.1208,0.12395,0.12691
9139.0,0.09389,0.28346,0.0517,0.13475,0.07971,0.1623,0.10009,0.0941
9140.0,0.13898,0.13548,0.14343,0.11864,0.11939,0.12142,0.10676,0.11591
9141.0,0.12027,0.12517,0.12605,0.12019,0.12899,0.12806,0.12014,0.13113
9171.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
9172.0,0.1096,0.16885,0.06033,0.07336,0.1948,0.14594,0.09132,0.15579
9509.0,0.10712,0.04186,0.10426,0.11918,0.3031,0.10791,0.12282,0.09376
9542.0,0.14527,0.12642,0.12431,0.13105,0.12326,0.12269,0.11044,0.11657
9543.0,0.13369,0.1313,0.1331,0.13185,0.12591,0.12157,0.1061,0.11647
9544.0,0.12922,0.12534,0.12391,0.12578,0.12455,0.12704,0.11692,0.12723
9545.0,0.12237,0.13019,0.12115,0.13266,0.12599,0.12504,0.11676,0.12584
9620.0,0.05414,0.07585,0.11495,0.1553,0.40415,0.0321,0.1128,0.0507
9621.0,0.12117,0.12915,0.1257,0.12306,0.13503,0.12511,0.10723,0.13356
9622.0,0.1161,0.13052,0.13328,0.11875,0.12465,0.12884,0.12898,0.11888
9623.0,0.10911,0.12954,0.13483,0.124,0.13734,0.12154,0.11774,0.1259
9629.0,0.10262,0.13371,0.12836,0.07241,0.18001,0.15381,0.10365,0.12543
9758.0,0.07922,0.11655,0.05844,0.2246,0.25836,0.0761,0.07089,0.11584
9760.0,0.11116,0.11025,0.1003,0.16916,0.13125,0.13709,0.14062,0.10018
9761.0,0.08854,0.1185,0.12567,0.14437,0.1472,0.1352,0.15081,0.08973
