fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2413.0,0.13952,0.06071,0.12752,0.14642,0.197,0.10665,0.11642,0.10576
2724.0,0.1017,0.07222,0.13716,0.13193,0.24666,0.10883,0.09892,0.10257
2729.0,0.10423,0.06602,0.12257,0.27237,0.13802,0.10724,0.09634,0.09321
2731.0,0.09857,0.0505,0.12234,0.06667,0.40457,0.0872,0.08607,0.08406
2733.0,0.10785,0.05775,0.13287,0.15086,0.25397,0.10689,0.09237,0.09744
2755.0,0.12355,0.08327,0.1159,0.12194,0.21316,0.13415,0.10504,0.10299
2761.0,0.12943,0.08261,0.10403,0.16786,0.13905,0.14513,0.12306,0.10883
2762.0,0.12947,0.08314,0.10361,0.16766,0.13974,0.14443,0.1231,0.10886
2771.0,0.04901,0.03816,0.11348,0.18421,0.44474,0.02313,0.0576,0.08968
2777.0,0.15732,0.05458,0.12465,0.15982,0.138,0.12862,0.14263,0.09438
2813.0,0.1179,0.10236,0.10547,0.15854,0.20775,0.10175,0.10781,0.09841
2815.0,0.09222,0.14863,0.11773,0.22027,0.1063,0.11594,0.10599,0.09292
2816.0,0.06864,0.1396,0.14204,0.29167,0.08178,0.09923,0.08081,0.09623
2818.0,0.06638,0.14312,0.1387,0.29174,0.09027,0.09324,0.08032,0.09623
2828.0,0.06662,0.14439,0.13818,0.29163,0.08827,0.09441,0.08038,0.09611
2842.0,0.09809,0.14004,0.11411,0.20992,0.14633,0.10154,0.08822,0.10174
2843.0,0.09742,0.13969,0.11412,0.21101,0.14676,0.10128,0.08795,0.10176
2844.0,0.09718,0.13961,0.11408,0.21098,0.14583,0.10174,0.08783,0.10276
2906.0,0.10234,0.05555,0.12449,0.30342,0.12254,0.06929,0.14467,0.07769
2908.0,0.12779,0.12548,0.12815,0.12759,0.11923,0.12506,0.13432,0.11238
2911.0,0.11917,0.07292,0.11587,0.24272,0.15011,0.08012,0.13827,0.08082
2912.0,0.1189,0.07326,0.11557,0.24324,0.14986,0.08008,0.1382,0.08088
2915.0,0.10201,0.05646,0.12347,0.30366,0.1227,0.06917,0.14477,0.07777
2926.0,0.0941,0.08667,0.13441,0.13325,0.24648,0.09908,0.1004,0.10562
2927.0,0.09333,0.08956,0.1343,0.13642,0.23873,0.10131,0.09996,0.10639
2928.0,0.09408,0.08809,0.13273,0.13359,0.24583,0.09952,0.10057,0.10558
2931.0,0.11867,0.07281,0.11655,0.24425,0.1483,0.08042,0.13804,0.08097
2936.0,0.07345,0.14749,0.08408,0.34953,0.0767,0.07868,0.11183,0.07825
2937.0,0.07445,0.14448,0.0848,0.34898,0.07728,0.07916,0.11241,0.07843
2938.0,0.07422,0.14549,0.08445,0.34897,0.07694,0.07933,0.11219,0.07842
2943.0,0.10153,0.05683,0.12325,0.30439,0.1223,0.06926,0.14477,0.07767
2944.0,0.10113,0.05706,0.1238,0.30429,0.12211,0.06909,0.14481,0.07771
2945.0,0.10237,0.05553,0.12449,0.3033,0.12259,0.06931,0.1447,0.0777
2949.0,0.11905,0.07308,0.11611,0.24301,0.14904,0.08057,0.13815,0.081
2959.0,0.11933,0.07227,0.11661,0.24324,0.14864,0.08086,0.13809,0.08097
2960.0,0.12229,0.08809,0.10468,0.27302,0.09117,0.10282,0.13152,0.08641
2989.0,0.08783,0.05915,0.11525,0.12107,0.39138,0.05185,0.09029,0.08318
2999.0,0.08852,0.05932,0.11289,0.11958,0.39427,0.05202,0.09075,0.08264
3006.0,0.08989,0.05861,0.11537,0.12373,0.38294,0.0539,0.09141,0.08413
3024.0,0.16282,0.05323,0.11316,0.16666,0.13481,0.13646,0.12531,0.10756
3078.0,0.11175,0.12079,0.09681,0.11104,0.24037,0.11512,0.10887,0.09525
3081.0,0.09135,0.09107,0.12616,0.14268,0.26389,0.09355,0.09002,0.10127
3087.0,0.11181,0.12041,0.09717,0.11098,0.24028,0.11519,0.10894,0.09521
3088.0,0.11205,0.12007,0.09704,0.11077,0.24051,0.11543,0.1089,0.09523
3089.0,0.11181,0.12056,0.09695,0.11109,0.24,0.11539,0.10889,0.09531
3313.0,0.12855,0.06179,0.12521,0.18198,0.153,0.12451,0.12276,0.1022
