fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2708.0,0.1178,0.10428,0.1053,0.14828,0.17095,0.1277,0.11613,0.10955
2769.0,0.08479,0.09733,0.0944,0.34997,0.0678,0.09772,0.11313,0.09486
2770.0,0.08271,0.09686,0.09532,0.35027,0.06811,0.099,0.11395,0.09377
2772.0,0.08491,0.09714,0.09448,0.34995,0.06789,0.0976,0.11315,0.09489
2776.0,0.19013,0.04453,0.11821,0.09297,0.17705,0.17336,0.09861,0.10515
2801.0,0.10029,0.1161,0.11462,0.15317,0.16936,0.14352,0.10623,0.0967
2805.0,0.08772,0.11776,0.10987,0.1476,0.15409,0.16698,0.11749,0.0985
2889.0,0.15351,0.07935,0.08634,0.15533,0.09831,0.21902,0.10867,0.09946
2897.0,0.15519,0.07897,0.08616,0.1501,0.10481,0.2135,0.1088,0.10247
2899.0,0.10383,0.10469,0.12903,0.21148,0.11521,0.11994,0.11015,0.10568
2907.0,0.09173,0.0876,0.14129,0.1481,0.24213,0.08641,0.09435,0.1084
2909.0,0.09168,0.08854,0.14229,0.15143,0.23852,0.08564,0.09389,0.108
2914.0,0.10392,0.10427,0.12948,0.2126,0.11452,0.1202,0.1097,0.10531
2916.0,0.09148,0.08949,0.14218,0.15314,0.23566,0.08603,0.09399,0.10803
2918.0,0.10387,0.10504,0.12874,0.20991,0.11623,0.12007,0.1104,0.10575
2920.0,0.12399,0.12323,0.08626,0.20049,0.07032,0.1941,0.10835,0.09324
2939.0,0.09179,0.08892,0.1421,0.15191,0.23807,0.0857,0.09377,0.10773
2940.0,0.09265,0.08951,0.14302,0.14701,0.24544,0.08285,0.09267,0.10685
2942.0,0.09101,0.08881,0.14315,0.15183,0.23869,0.08525,0.09374,0.10752
2951.0,0.10372,0.10424,0.12943,0.21233,0.11405,0.12024,0.11022,0.10578
2952.0,0.10365,0.10405,0.12958,0.21261,0.11388,0.12054,0.11021,0.10548
2954.0,0.12594,0.12181,0.08622,0.19813,0.07168,0.1942,0.10896,0.09306
2956.0,0.12642,0.11956,0.08696,0.19819,0.07273,0.19357,0.10906,0.09351
2958.0,0.12682,0.11939,0.08669,0.19674,0.07378,0.19474,0.10804,0.0938
3087.0,0.09289,0.09173,0.1363,0.14852,0.25083,0.08256,0.09367,0.1035
3088.0,0.09293,0.09148,0.13722,0.14897,0.24983,0.08249,0.09372,0.10338
3089.0,0.09309,0.0913,0.13663,0.14823,0.25123,0.0824,0.09361,0.1035
3300.0,0.11482,0.11582,0.11521,0.12842,0.13627,0.13331,0.10539,0.15074
3301.0,0.11548,0.11573,0.11619,0.12776,0.1344,0.13239,0.1044,0.15366
3302.0,0.11474,0.11646,0.11481,0.1289,0.13818,0.13415,0.10715,0.14562
3337.0,0.12376,0.11401,0.10895,0.14978,0.13977,0.15111,0.11939,0.09323
3338.0,0.1255,0.11174,0.1097,0.14859,0.14305,0.14805,0.1198,0.09357
3339.0,0.1235,0.11336,0.10924,0.1516,0.13937,0.15079,0.11927,0.09287
3340.0,0.12337,0.11458,0.10876,0.15155,0.13898,0.15046,0.11949,0.09281
3349.0,0.11105,0.08834,0.1166,0.14916,0.14684,0.17209,0.11243,0.10351
3350.0,0.11142,0.08858,0.11679,0.14913,0.1471,0.17105,0.11213,0.1038
3351.0,0.11069,0.08832,0.11809,0.14995,0.14688,0.17104,0.11161,0.10344
3375.0,0.11907,0.10288,0.10804,0.13407,0.21466,0.10697,0.10107,0.11325
3376.0,0.11925,0.10273,0.10841,0.13336,0.21537,0.10688,0.10096,0.11303
3377.0,0.11894,0.10337,0.10808,0.13405,0.21476,0.10696,0.10084,0.113
3449.0,0.11095,0.10628,0.10912,0.15007,0.15515,0.13892,0.12589,0.10363
3452.0,0.0941,0.1117,0.1109,0.16417,0.1385,0.17198,0.11077,0.09787
3459.0,0.09457,0.11123,0.11055,0.16484,0.13846,0.17168,0.11056,0.0981
3463.0,0.11021,0.1075,0.10859,0.14821,0.1576,0.13831,0.12592,0.10367
3475.0,0.09418,0.11148,0.11136,0.16304,0.13996,0.17148,0.1107,0.09779
3480.0,0.11055,0.10757,0.10825,0.14866,0.15741,0.13807,0.12562,0.10386
3481.0,0.11046,0.10788,0.10807,0.14864,0.15723,0.13832,0.12572,0.10368
3499.0,0.09394,0.11137,0.11151,0.16362,0.13978,0.17143,0.11067,0.09769
3565.0,0.1201,0.09682,0.075,0.17841,0.04054,0.30677,0.08987,0.09248
3566.0,0.08833,0.13121,0.09858,0.12665,0.27275,0.07478,0.1025,0.10519
3569.0,0.08567,0.15815,0.10158,0.16012,0.14778,0.1347,0.11242,0.09958
3595.0,0.09698,0.1037,0.11234,0.10802,0.17353,0.19778,0.10711,0.10054
3597.0,0.0938,0.10389,0.15186,0.1477,0.18738,0.09203,0.10397,0.11937
3613.0,0.05906,0.18641,0.06908,0.08435,0.32635,0.0728,0.10562,0.09634
3621.0,0.11747,0.11386,0.09251,0.12122,0.20703,0.12186,0.11287,0.1132
3693.0,0.10132,0.11583,0.10253,0.12214,0.20217,0.12769,0.11804,0.11027
3704.0,0.11065,0.12494,0.10106,0.1127,0.17795,0.1391,0.12691,0.1067
3720.0,0.11764,0.09985,0.1274,0.13379,0.14659,0.17713,0.09306,0.10454
3799.0,0.11142,0.13221,0.08663,0.19175,0.09817,0.15579,0.11777,0.10625
